ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
310,0,217286,,2,1526,28.71320000000,2
289,0,562,,5,753,6.00000000000,6
312,0,928,,4,1576,33.07120000000,4
245,0,712,,4,1506,42.00000000000,4
286,0,2232,,4,1168,31.77440000000,4
303,0,8554,,1,2340,22.55770000000,2
318,0,564,,2,2337,24.00000000000,2
313,0,1559,,6,1988,22.87550000000,9
317,0,406,,2,1769,49.75390000000,3
274,324,7927,Upper Methow,0,274,3.00889000000,10
327,348,416,Upper Methow,0,327,9.00000000000,10
314,0,3013,,4,1281,34.43340000000,4
316,770,998,Upper Methow,0,316,13.30840000000,10
267,766,3792,Upper Methow,0,267,7.81859000000,10
337,0,732,,4,5399,52.14210000000,4
291,228,39296,Upper Methow,0,291,20.71050000000,10
283,233,3577,Upper Methow,0,283,8.71306000000,10
319,0,2717,,4,6131,29.01850000000,4
339,0,543,,4,5677,49.00000000000,4
334,467,529,Upper Methow,0,334,5.00000000000,10
340,477,1065,Upper Methow,0,340,3.00000000000,10
284,417,5343,Upper Methow,0,284,5.32865000000,10
304,0,919,,4,2519,37.08060000000,4
345,488,6553,Upper Methow,0,345,3.44070000000,10
271,0,9900,,2,5631,33.60530000000,2
332,0,3894,,2,1685,38.13350000000,4
335,0,481,,5,130,40.82970000000,5
294,706,1055,Upper Methow,0,294,17.00000000000,10
330,555,693,Upper Methow,0,330,17.04910000000,10
329,272,511,Upper Methow,0,329,17.00000000000,10
344,707,1416,Upper Methow,0,344,15.00000000000,10
352,573,2895,Upper Methow,0,352,22.39450000000,10
342,469,1902,Upper Methow,0,342,3.64846000000,10
309,463,800,Upper Methow,0,309,4.01000000000,10
353,304,1701,Upper Methow,0,353,13.00000000000,10
299,0,856,,1,4372,3.00701000000,2
341,0,9743,,1,3891,22.43930000000,2
331,632,731,Upper Methow,0,331,0.00000000000,10
225,631,36610,Upper Methow,0,225,20.70450000000,10
355,0,570,,2,2337,22.91950000000,3
359,0,387,,6,2007,21.32680000000,9
364,0,693,,4,5635,0.00000000000,4
354,489,2869,Upper Methow,0,354,3.75413000000,10
365,0,489,,5,1331,19.07780000000,5
368,536,2863,Upper Methow,0,368,3.03125000000,10
336,265,43390,Upper Methow,0,336,19.75890000000,10
369,0,350,,6,1557,22.00000000000,6
363,264,718,Upper Methow,0,363,13.03620000000,10
366,0,944,,6,152,20.02030000000,5
328,386,9027,Upper Methow,0,328,3.44665000000,10
356,277,3001,Upper Methow,0,356,13.23400000000,10
371,391,785,Upper Methow,0,371,5.98473000000,10
373,355,781,Upper Methow,0,373,4.00000000000,10
374,578,1940,Upper Methow,0,374,21.02170000000,10
351,737,3020,Upper Methow,0,351,16.49510000000,10
357,736,573,Upper Methow,0,357,0.00000000000,10
375,633,396,Upper Methow,0,375,27.13660000000,10
348,0,14255,,2,1246,34.94770000000,2
378,0,192488,,2,1399,29.74340000000,2
295,0,7145,,2,532,3.64526000000,3
338,0,3672,,2,260,32.60370000000,3
381,0,1590,,6,275,21.48520000000,5
376,758,3756,Upper Methow,0,376,14.08070000000,10
367,680,540,Upper Methow,0,367,5.97780000000,10
383,805,583,Upper Methow,0,383,18.93480000000,10
385,727,362,Upper Methow,0,385,13.07190000000,10
377,0,10918,,1,512,20.78500000000,2
387,0,5849,,1,4683,10.74760000000,2
311,0,219057,,2,1526,28.66090000000,2
362,0,3543,,1,5133,10.94570000000,2
389,0,912,,1,1048,15.00000000000,4
358,674,37881,Upper Methow,0,358,20.36360000000,10
386,697,1251,Upper Methow,0,386,9.53739000000,10
370,288,44449,Upper Methow,0,370,19.64790000000,10
390,0,4511,,1,5893,11.77730000000,2
394,579,538,Upper Methow,0,394,3.01117000000,10
392,297,4380,Upper Methow,0,392,11.00870000000,10
399,0,964,,1,159,6.02493000000,4
402,562,1823,Upper Methow,0,402,3.00330000000,10
372,419,10328,Upper Methow,0,372,3.72663000000,10
350,420,1430,Upper Methow,0,350,6.00840000000,10
346,496,13211,Upper Methow,0,346,4.32044000000,10
287,495,1481,Upper Methow,0,287,0.00000000000,10
382,0,9347,,5,1408,7.34104000000,6
405,510,14819,Upper Methow,0,405,3.89071000000,10
410,0,496,,4,5540,48.00000000000,4
406,0,367,,1,964,1.00000000000,6
412,556,830,Upper Methow,0,412,9.00000000000,10
388,0,225189,,1,1393,28.19440000000,2
416,900,5971,Upper Methow,0,416,15.19190000000,10
333,886,6312,Upper Methow,0,333,11.03780000000,10
422,943,4940,Upper Methow,0,422,14.02500000000,10
423,964,653,Upper Methow,0,423,21.00000000000,10
403,465,12351,Upper Methow,0,403,4.06222000000,10
427,464,364,Upper Methow,0,427,1.00551000000,10
398,0,1245,,5,5425,49.00000000000,5
379,0,18209,,1,4143,34.49610000000,2
391,944,723,Upper Methow,0,391,13.50500000000,10
404,0,576,,5,4823,53.00000000000,5
434,983,3742,Upper Methow,0,434,13.43880000000,10
393,756,39552,Upper Methow,0,393,20.06420000000,10
343,0,2209,,1,1554,22.03980000000,2
430,773,1081,Upper Methow,0,430,11.00000000000,10
438,0,189588,,2,1261,29.82950000000,2
349,729,5706,Upper Methow,0,349,23.11550000000,10
414,0,225878,,1,1393,28.14960000000,2
440,728,1563,Upper Methow,0,440,29.18490000000,10
424,0,554,,4,853,25.00000000000,4
446,0,573,,2,2337,9.96513000000,2
396,0,1111,,4,1771,40.00000000000,4
442,0,382,,5,2438,5.00000000000,6
443,698,355,Upper Methow,0,443,27.03550000000,10
450,703,348,Upper Methow,6,1557,21.12080000000,5
323,281,1799,Upper Methow,0,323,2.99333000000,10
451,715,400,Upper Methow,5,720,36.95150000000,6
431,280,734,Upper Methow,0,431,5.02728000000,10
441,0,443,,1,129,29.86480000000,5
425,984,697,Upper Methow,0,425,0.00000000000,10
433,0,20192,,2,1638,35.94180000000,3
455,0,1451,,5,5468,51.00000000000,5
459,1010,2498,Upper Methow,0,459,15.98890000000,10
411,0,10284,,2,5631,9.70033000000,3
453,0,480,,2,2045,0.00000000000,4
461,0,368,,1,964,0.00000000000,6
463,0,188915,,2,1261,29.88560000000,2
456,0,21822,,2,1137,36.96870000000,3
395,0,911,,5,5130,44.00000000000,6
448,0,1916,,2,1171,35.00890000000,3
426,0,534,,6,663,23.00000000000,5
471,0,451,,6,809,48.87140000000,5
436,321,833,Upper Methow,0,436,3.00720000000,10
452,320,2664,Upper Methow,0,452,3.57640000000,10
444,0,1054,,1,868,10.97910000000,4
419,959,13673,Upper Methow,0,419,13.68900000000,10
401,958,950,Upper Methow,0,401,4.98948000000,10
478,0,808,,1,915,33.00000000000,3
384,875,6192,Upper Methow,0,384,16.44980000000,10
476,874,511,Upper Methow,0,476,12.00000000000,10
482,330,1207,Upper Methow,0,482,11.23830000000,10
464,0,22958,,2,1163,37.26660000000,3
485,0,351,,5,4939,0.00000000000,5
474,893,377,Upper Methow,0,474,0.00000000000,10
488,927,355,Upper Methow,0,488,13.00000000000,10
445,806,7871,Upper Methow,0,445,24.72500000000,10
491,823,1275,Upper Methow,0,491,25.03920000000,10
462,0,228094,,1,1393,28.06360000000,2
499,1091,500,Upper Methow,0,499,12.04800000000,10
500,1092,1139,Upper Methow,0,500,15.00000000000,10
437,830,41253,Upper Methow,0,437,19.88890000000,10
490,829,9218,Upper Methow,0,490,24.79430000000,10
460,0,11098,,5,1435,9.53895000000,6
480,0,759,,4,1351,48.00000000000,4
492,0,386,,4,1350,7.47943000000,5
493,0,436,,4,869,14.03360000000,4
481,903,7016,Upper Methow,0,481,16.30360000000,10
511,426,988,Upper Methow,0,511,5.00000000000,10
397,425,50610,Upper Methow,0,397,18.97820000000,10
487,904,1306,Upper Methow,0,487,9.26463000000,10
504,0,11894,,6,1481,12.02660000000,7
515,0,2462,,5,721,27.56240000000,5
428,564,14259,Upper Methow,0,428,4.05643000000,10
498,563,526,Upper Methow,0,498,2.00760000000,10
521,0,463,,1,1234,0.00000000000,5
465,0,931,,1,5811,18.00000000000,4
517,0,403,,5,2438,4.97521000000,6
524,0,2440,,4,2239,20.11320000000,4
522,1192,399,Upper Methow,0,522,0.00000000000,10
475,1163,639,Upper Methow,0,475,21.17070000000,10
472,0,3353,,2,638,34.48540000000,3
473,0,1376,,1,527,24.85860000000,3
466,0,880,,5,985,40.00000000000,5
413,611,17657,Upper Methow,0,413,4.28538000000,10
484,381,4972,Upper Methow,0,484,5.41207000000,10
486,0,23931,,2,1163,36.77570000000,3
483,617,633,Upper Methow,0,483,0.00000000000,10
528,415,1138,Upper Methow,0,528,4.00000000000,10
497,612,706,Upper Methow,0,497,4.09118000000,10
514,0,14986,,6,1102,15.07880000000,9
495,0,526,,4,1066,41.00000000000,4
538,0,39207,,4,291,14.07880000000,4
536,658,1404,Upper Methow,0,536,6.00855000000,10
533,625,19056,Upper Methow,0,533,4.13674000000,10
540,461,444,Upper Methow,0,540,3.01354000000,10
513,460,51963,Upper Methow,0,513,18.72980000000,10
546,0,35939,,4,1632,14.32670000000,4
534,0,38134,,4,1632,13.93590000000,4
489,0,1085,,1,1194,1.04097000000,4
526,0,584,,6,1544,0.00000000000,5
550,0,937,,1,4245,20.00000000000,4
551,0,964,,4,543,0.00000000000,4
552,0,1087,,4,5385,34.56000000000,4
553,0,34786,,4,201,14.74280000000,4
260,436,3712,Upper Methow,0,260,6.00323000000,10
557,437,7679,Upper Methow,0,557,5.41118000000,10
527,1215,1374,Upper Methow,0,527,14.86580000000,10
532,433,7087,Upper Methow,0,532,5.06989000000,10
558,1229,450,Upper Methow,0,558,31.13800000000,10
560,459,380,Upper Methow,0,560,12.00000000000,10
563,0,385,,6,720,38.19770000000,8
564,0,526,,4,853,31.87850000000,4
537,0,16588,,6,1121,16.57070000000,9
530,0,25352,,2,2134,36.94960000000,2
347,0,4322,,1,89,12.42860000000,3
519,814,758,Upper Methow,0,519,22.93940000000,10
565,0,441,,4,2097,52.23610000000,4
506,815,2055,Upper Methow,0,506,21.95720000000,10
562,0,1121,,4,1771,39.78630000000,4
529,0,5501,,5,1555,31.25070000000,5
479,1077,16550,Upper Methow,0,479,13.72690000000,10
572,1088,1768,Upper Methow,0,572,14.00000000000,10
559,1248,2183,Upper Methow,0,559,19.71080000000,10
576,1303,402,Upper Methow,0,576,32.00000000000,10
468,0,425,,4,5294,23.32590000000,4
561,0,951,,5,5130,42.90970000000,5
567,0,29776,,2,1578,34.62120000000,2
470,585,1466,Upper Methow,0,470,2.00000000000,10
571,584,565,Upper Methow,0,571,1.00000000000,10
542,746,949,Upper Methow,0,542,4.98946000000,10
508,0,1901,,4,1987,8.63264000000,4
575,751,400,Upper Methow,0,575,5.00000000000,10
579,0,393,,4,2048,0.00000000000,4
525,0,3561,,1,5133,17.61860000000,2
588,0,581,,2,2337,26.08970000000,2
583,0,2321,,2,1168,7.13585000000,2
535,0,39607,,4,291,14.34220000000,4
569,0,686,,1,719,19.00000000000,4
595,0,31194,,1,4221,15.35420000000,1
600,0,1323,,4,994,30.04540000000,4
601,0,29811,,4,667,14.70360000000,4
573,1112,18553,Upper Methow,0,573,13.80740000000,10
578,1111,561,Upper Methow,0,578,21.00000000000,10
592,0,2006,,1,1171,1.37166000000,2
598,0,570,,2,2337,7.00000000000,2
605,0,27739,,4,1120,15.65170000000,4
549,0,1047,,5,6288,2.06547000000,5
582,775,1595,Upper Methow,0,582,5.11218000000,10
544,529,53105,Upper Methow,0,544,18.63290000000,10
606,593,15450,Upper Methow,6,1586,7.24516000000,7
603,776,497,Upper Methow,0,603,6.02417000000,10
596,0,587,,4,1544,1.00341000000,4
555,551,1403,Upper Methow,0,555,3.00428000000,10
