FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
150,201,182,35122,Upper Methow,0,4328,22.3649998,10
151,266,187,3625,Upper Methow,0,3693,3.9927399,10
152,264,0,4215, ,5,4859,2.2061300,6
153,292,0,411, ,5,929,6.0000000,5
154,233,0,1170, ,6,956,3.0051301,9
155,247,0,214196, ,2,247,28.8297997,2
156,297,0,516, ,1,175,2.0000000,4
157,296,0,407, ,2,646,28.0000000,2
158,265,0,8040, ,1,3853,22.3155994,2
159,302,0,214875, ,2,302,28.7653008,2
160,305,0,387, ,6,4228,0.9948400,9
161,300,0,377, ,1,474,0.0000000,6
162,310,0,217286, ,2,310,28.7131996,2
163,289,0,562, ,5,1963,6.0000000,6
164,312,0,928, ,4,1576,33.0712013,4
165,245,0,712, ,4,2241,42.0000000,4
166,286,0,2232, ,4,1168,31.7744007,4
167,303,0,8554, ,1,5097,22.5576992,2
168,318,0,564, ,2,3637,24.0000000,2
169,313,0,1559, ,6,5304,22.8754997,9
170,317,0,406, ,2,1322,49.7538986,3
171,274,324,7927,Upper Methow,0,445,3.0088899,10
172,327,348,416,Upper Methow,0,873,9.0000000,10
173,314,0,3013, ,4,1606,34.4333992,4
174,316,770,998,Upper Methow,0,316,13.3084002,10
175,267,766,3792,Upper Methow,0,267,7.8185902,10
176,337,0,732, ,4,5399,52.1421013,4
177,291,228,39296,Upper Methow,0,4494,20.7105007,10
178,283,233,3577,Upper Methow,0,5421,8.7130604,10
179,319,0,2717, ,4,1050,29.0184994,4
180,339,0,543, ,4,5677,49.0000000,4
181,334,467,529,Upper Methow,0,3846,5.0000000,10
182,340,477,1065,Upper Methow,0,294,3.0000000,10
183,284,417,5343,Upper Methow,0,2012,5.3286500,10
184,304,0,919, ,4,1576,37.0806007,4
185,345,488,6553,Upper Methow,0,5249,3.4407001,10
186,271,0,9900, ,2,5631,33.6053009,2
187,332,0,3894, ,2,1098,38.1334991,4
188,335,0,481, ,5,5252,40.8297005,5
189,294,706,1055,Upper Methow,0,294,17.0000000,10
190,330,555,693,Upper Methow,0,330,17.0491009,10
191,329,272,511,Upper Methow,0,5252,17.0000000,10
192,344,707,1416,Upper Methow,0,344,15.0000000,10
193,352,573,2895,Upper Methow,0,352,22.3945007,10
194,342,469,1902,Upper Methow,0,254,3.6484599,10
195,309,463,800,Upper Methow,0,4750,4.0100002,10
196,353,304,1701,Upper Methow,0,1418,13.0000000,10
197,299,0,856, ,1,4372,3.0070100,2
198,341,0,9743, ,1,3891,22.4393005,2
199,331,632,731,Upper Methow,0,331,0.0000000,10
200,225,631,36610,Upper Methow,0,225,20.7045002,10
201,355,0,570, ,2,357,22.9195004,3
202,359,0,387, ,6,703,21.3267994,9
203,364,0,693, ,4,5635,0.0000000,4
204,354,489,2869,Upper Methow,0,5159,3.7541299,10
205,365,0,489, ,5,5268,19.0778008,5
206,368,536,2863,Upper Methow,0,352,3.0312500,10
207,336,265,43390,Upper Methow,0,4634,19.7588997,10
208,369,0,350, ,6,4704,22.0000000,6
209,363,264,718,Upper Methow,0,1718,13.0361996,10
210,366,0,944, ,6,1576,20.0202999,5
211,328,386,9027,Upper Methow,0,5152,3.4466500,10
212,356,277,3001,Upper Methow,0,1606,13.2340002,10
213,371,391,785,Upper Methow,0,86,5.9847298,10
214,373,355,781,Upper Methow,0,2044,4.0000000,10
215,374,578,1940,Upper Methow,0,374,21.0216999,10
216,351,737,3020,Upper Methow,0,351,16.4951000,10
217,357,736,573,Upper Methow,0,357,0.0000000,10
218,375,633,396,Upper Methow,0,375,27.1366005,10
219,348,0,14255, ,2,1246,34.9477005,2
220,378,0,192488, ,2,378,29.7434006,2
221,295,0,7145, ,2,5520,3.6452601,3
222,338,0,3672, ,2,434,32.6036987,3
223,381,0,1590, ,6,440,21.4852009,5
224,376,758,3756,Upper Methow,0,376,14.0806999,10
225,367,680,540,Upper Methow,0,367,5.9777999,10
226,383,805,583,Upper Methow,0,383,18.9347992,10
227,385,727,362,Upper Methow,0,385,13.0719004,10
228,377,0,10918, ,1,512,20.7849998,2
229,387,0,5849, ,1,4683,10.7475996,2
230,311,0,219057, ,2,311,28.6609001,2
231,362,0,3543, ,1,5133,10.9456997,2
232,389,0,912, ,1,4606,15.0000000,4
233,358,674,37881,Upper Methow,0,358,20.3635998,10
234,386,697,1251,Upper Methow,0,386,9.5373898,10
235,370,288,44449,Upper Methow,0,4634,19.6478996,10
236,390,0,4511, ,1,1417,11.7772999,2
237,394,579,538,Upper Methow,0,5407,3.0111699,10
238,392,297,4380,Upper Methow,0,4153,11.0087004,10
239,399,0,964, ,1,1531,6.0249300,4
240,402,562,1823,Upper Methow,0,95,3.0033000,10
241,372,419,10328,Upper Methow,0,1173,3.7266300,10
242,350,420,1430,Upper Methow,0,5552,6.0084000,10
243,346,496,13211,Upper Methow,0,5302,4.3204398,10
244,287,495,1481,Upper Methow,0,1671,0.0000000,10
245,382,0,9347, ,5,5556,7.3410401,6
246,405,510,14819,Upper Methow,0,1246,3.8907101,10
247,410,0,496, ,4,5540,48.0000000,4
248,406,0,367, ,1,1108,1.0000000,6
249,412,556,830,Upper Methow,0,1811,9.0000000,10
250,388,0,225189, ,1,1393,28.1944008,2
251,416,900,5971,Upper Methow,0,416,15.1919003,10
252,333,886,6312,Upper Methow,0,333,11.0377998,10
253,422,943,4940,Upper Methow,0,422,14.0249996,10
254,423,964,653,Upper Methow,0,423,21.0000000,10
255,403,465,12351,Upper Methow,0,1511,4.0622201,10
256,427,464,364,Upper Methow,0,1186,1.0055100,10
257,398,0,1245, ,5,5425,49.0000000,5
258,379,0,18209, ,1,4143,34.4961014,2
259,391,944,723,Upper Methow,0,391,13.5050001,10
260,404,0,576, ,5,4823,53.0000000,5
261,434,983,3742,Upper Methow,0,434,13.4387999,10
262,393,756,39552,Upper Methow,0,393,20.0641994,10
263,343,0,2209, ,1,5197,22.0398006,2
264,430,773,1081,Upper Methow,0,430,11.0000000,10
265,438,0,189588, ,2,438,29.8295002,2
266,349,729,5706,Upper Methow,0,349,23.1154995,10
267,414,0,225878, ,1,1393,28.1495991,2
268,440,728,1563,Upper Methow,0,440,29.1849003,10
269,424,0,554, ,4,1066,25.0000000,4
270,446,0,573, ,2,357,9.9651299,2
271,396,0,1111, ,4,1810,40.0000000,4
272,442,0,382, ,5,703,5.0000000,6
273,443,698,355,Upper Methow,0,443,27.0354996,10
274,450,703,348,Upper Methow,6,4704,21.1208000,5
275,323,281,1799,Upper Methow,0,1131,2.9933300,10
276,451,715,400,Upper Methow,5,4959,36.9514999,6
277,431,280,734,Upper Methow,0,1718,5.0272799,10
278,441,0,443, ,1,129,29.8647995,5
279,425,984,697,Upper Methow,0,425,0.0000000,10
280,433,0,20192, ,2,1301,35.9417992,3
281,455,0,1451, ,5,5468,51.0000000,5
282,459,1010,2498,Upper Methow,0,459,15.9889002,10
283,411,0,10284, ,2,5631,9.7003298,3
284,453,0,480, ,2,5252,0.0000000,4
285,461,0,368, ,1,1108,0.0000000,6
286,463,0,188915, ,2,463,29.8855991,2
287,456,0,21822, ,2,2086,36.9687004,3
288,395,0,911, ,5,5130,44.0000000,6
289,448,0,1916, ,2,1776,35.0088997,3
290,426,0,534, ,6,663,23.0000000,5
291,471,0,451, ,6,809,48.8713989,5
292,436,321,833,Upper Methow,0,1656,3.0072000,10
293,452,320,2664,Upper Methow,0,1050,3.5764000,10
294,444,0,1054, ,1,294,10.9791002,4
295,419,959,13673,Upper Methow,0,419,13.6890001,10
296,401,958,950,Upper Methow,0,401,4.9894800,10
297,478,0,808, ,1,3843,33.0000000,3
298,384,875,6192,Upper Methow,0,384,16.4498005,10
299,476,874,511,Upper Methow,0,476,12.0000000,10
300,482,330,1207,Upper Methow,0,1885,11.2383003,10
301,464,0,22958, ,2,1430,37.2666016,3
302,485,0,351, ,5,4939,0.0000000,5
303,474,893,377,Upper Methow,0,474,0.0000000,10
304,488,927,355,Upper Methow,0,488,13.0000000,10
305,445,806,7871,Upper Methow,0,445,24.7250004,10
306,491,823,1275,Upper Methow,0,491,25.0391998,10
307,462,0,228094, ,1,1393,28.0636005,2
308,499,1091,500,Upper Methow,0,499,12.0480003,10
309,500,1092,1139,Upper Methow,0,500,15.0000000,10
310,437,830,41253,Upper Methow,0,437,19.8889008,10
311,490,829,9218,Upper Methow,0,490,24.7943001,10
312,460,0,11098, ,5,1181,9.5389500,6
313,480,0,759, ,4,1351,48.0000000,4
314,492,0,386, ,4,703,7.4794302,5
315,493,0,436, ,4,869,14.0335999,4
316,481,903,7016,Upper Methow,0,481,16.3036003,10
317,511,426,988,Upper Methow,0,1339,5.0000000,10
318,397,425,50610,Upper Methow,0,1340,18.9782009,10
319,487,904,1306,Upper Methow,0,487,9.2646303,10
320,504,0,11894, ,6,1219,12.0265999,7
321,515,0,2462, ,5,2202,27.5624008,5
322,428,564,14259,Upper Methow,0,137,4.0564299,10
323,498,563,526,Upper Methow,0,1318,2.0076001,10
324,521,0,463, ,1,1551,0.0000000,5
325,465,0,931, ,1,43,18.0000000,4
326,517,0,403, ,5,1142,4.9752102,6
327,524,0,2440, ,4,2202,20.1131992,4
328,522,1192,399,Upper Methow,0,522,0.0000000,10
329,475,1163,639,Upper Methow,0,475,21.1707001,10
330,472,0,3353, ,2,5546,34.4854012,3
331,473,0,1376, ,1,527,24.8586006,3
332,466,0,880, ,5,985,40.0000000,5
333,413,611,17657,Upper Methow,0,4770,4.2853799,10
334,484,381,4972,Upper Methow,0,1992,5.4120698,10
335,486,0,23931, ,2,1430,36.7756996,3
336,483,617,633,Upper Methow,0,1349,0.0000000,10
337,528,415,1138,Upper Methow,0,956,4.0000000,10
338,497,612,706,Upper Methow,0,1718,4.0911798,10
339,514,0,14986, ,6,1246,15.0788002,9
340,495,0,526, ,4,1066,41.0000000,4
341,538,0,39207, ,4,4494,14.0788002,4
342,536,658,1404,Upper Methow,0,5491,6.0085502,10
343,533,625,19056,Upper Methow,0,1452,4.1367402,10
344,540,461,444,Upper Methow,0,4567,3.0135400,10
345,513,460,51963,Upper Methow,0,1340,18.7297993,10
346,546,0,35939, ,4,225,14.3267002,4
347,534,0,38134, ,4,358,13.9358997,4
348,489,0,1085, ,1,430,1.0409700,4
349,526,0,584, ,6,5471,0.0000000,5
350,550,0,937, ,1,4245,20.0000000,4
351,551,0,964, ,4,891,0.0000000,4
352,552,0,1087, ,4,5385,34.5600014,4
353,553,0,34786, ,4,4576,14.7427998,4
354,260,436,3712,Upper Methow,0,434,6.0032301,10
355,557,437,7679,Upper Methow,0,3714,5.4111800,10
356,527,1215,1374,Upper Methow,0,527,14.8657999,10
357,532,433,7087,Upper Methow,0,5520,5.0698900,10
358,558,1229,450,Upper Methow,0,558,31.1380005,10
359,560,459,380,Upper Methow,0,703,12.0000000,10
360,563,0,385, ,6,5251,38.1977005,8
361,564,0,526, ,4,1610,31.8785000,4
362,537,0,16588, ,6,479,16.5706997,9
363,530,0,25352, ,2,2134,36.9496002,2
364,347,0,4322, ,1,89,12.4286003,3
365,519,814,758,Upper Methow,0,1884,22.9393997,10
366,565,0,441, ,4,2097,52.2360992,4
367,506,815,2055,Upper Methow,0,608,21.9571991,10
368,562,0,1121, ,4,1810,39.7863007,4
369,529,0,5501, ,5,1555,31.2507000,5
370,479,1077,16550,Upper Methow,0,479,13.7269001,10
371,572,1088,1768,Upper Methow,0,572,14.0000000,10
372,559,1248,2183,Upper Methow,0,559,19.7108002,10
373,576,1303,402,Upper Methow,0,576,32.0000000,10
374,468,0,425, ,4,5294,23.3258991,4
375,561,0,951, ,5,5130,42.9096985,5
376,567,0,29776, ,2,4466,34.6212006,2
377,470,585,1466,Upper Methow,0,5460,2.0000000,10
378,571,584,565,Upper Methow,0,1963,1.0000000,10
379,542,746,949,Upper Methow,0,401,4.9894600,10
380,508,0,1901, ,4,1955,8.6326399,4
381,575,751,400,Upper Methow,0,1387,5.0000000,10
382,579,0,393, ,4,1157,0.0000000,4
383,525,0,3561, ,1,5133,17.6186008,2
384,588,0,581, ,2,140,26.0897007,2
385,583,0,2321, ,2,1168,7.1358500,2
386,535,0,39607, ,4,393,14.3422003,4
387,569,0,686, ,1,1327,19.0000000,4
388,595,0,31194, ,1,4221,15.3542004,1
389,600,0,1323, ,4,994,30.0454006,4
390,601,0,29811, ,4,4466,14.7035999,4
391,573,1112,18553,Upper Methow,0,573,13.8073997,10
392,578,1111,561,Upper Methow,0,578,21.0000000,10
393,592,0,2006, ,1,62,1.3716600,2
394,598,0,570, ,2,357,7.0000000,2
395,605,0,27739, ,4,1323,15.6517000,4
396,549,0,1047, ,5,1111,2.0654700,5
397,582,775,1595,Upper Methow,0,234,5.1121802,10
398,544,529,53105,Upper Methow,0,501,18.6329002,10
399,606,593,15450,Upper Methow,6,3958,7.2451601,7
400,603,776,497,Upper Methow,0,977,6.0241699,10
401,596,0,587, ,4,5471,1.0034100,4
402,555,551,1403,Upper Methow,0,5552,3.0042801,10
403,556,530,12120,Upper Methow,0,2089,5.6456900,10
404,599,0,401, ,5,1157,2.0401001,5
405,610,0,347, ,4,4704,17.8964005,4
406,638,565,3310,Upper Methow,0,5546,13.0911999,10
407,580,0,31153, ,1,4221,34.9446983,1
408,591,0,972, ,4,1231,0.0000000,4
409,501,1003,52863,Upper Methow,0,501,20.9699993,10
410,615,1029,3856,Upper Methow,0,615,22.2570000,10
411,570,0,7155, ,1,975,32.4464989,2
412,593,0,528, ,1,148,19.9242001,4
413,590,0,458, ,1,1930,2.9869201,5
414,617,0,703, ,1,4311,2.0000000,4
415,516,0,230528, ,1,1397,28.0023003,2
416,620,0,2276, ,1,206,3.0196600,2
417,621,0,25160, ,2,2134,16.8031006,2
418,622,0,439, ,6,655,17.9181004,5
419,543,650,971,Upper Methow,0,1231,2.0000000,10
420,581,649,2751,Upper Methow,0,1919,1.8093600,10
421,624,0,41722, ,4,4717,14.3901997,4
422,613,1052,57385,Upper Methow,0,613,21.1012993,10
423,607,1019,3157,Upper Methow,0,607,21.0778999,10
424,628,1123,3249,Upper Methow,0,628,24.1324997,10
425,629,1053,583,Upper Methow,0,629,28.0000000,10
426,630,0,508, ,1,4670,30.2366009,4
427,594,0,41203, ,4,437,14.4015999,4
428,633,0,388, ,2,4873,30.8404999,3
429,641,1044,1097,Upper Methow,0,641,22.0000000,10
430,632,987,565,Upper Methow,0,632,10.0000000,10
431,625,0,488, ,1,5268,0.0000000,4
432,642,0,713, ,1,190,42.1180000,4
433,618,0,7782, ,1,3714,31.5487003,2
434,577,1316,4125,Upper Methow,0,577,23.3799992,10
435,645,0,1448, ,1,114,4.0055199,3
436,646,1404,406,Upper Methow,0,646,0.0000000,10
437,648,0,451, ,1,558,33.8493996,5
438,650,0,618, ,4,1257,20.0000000,4
439,614,0,32569, ,1,4504,33.9626999,1
440,631,0,1470, ,1,4288,2.3283701,3
441,612,0,1092, ,1,641,6.4360099,4
442,597,1393,1218,Upper Methow,0,597,5.6434398,10
443,520,0,1499, ,1,5552,8.0000000,3
444,660,0,1273, ,4,1885,19.1196003,4
445,655,1413,439,Upper Methow,0,655,24.7070999,10
446,658,0,736, ,1,931,18.9484005,4
447,584,0,859, ,4,5157,7.1639199,4
448,654,0,2405, ,4,2202,14.1809998,4
449,611,627,70340,Upper Methow,0,5205,15.8153000,10
450,699,614,4972,Upper Methow,0,1992,17.2996006,10
451,623,0,272723, ,1,1868,25.9150009,2
452,541,878,1214,Upper Methow,0,491,32.0527992,10
453,554,877,1406,Upper Methow,0,1671,30.9559994,10
454,539,783,22692,Upper Methow,0,1430,4.4427800,10
455,643,560,654,Upper Methow,0,5036,18.0000000,10
456,651,784,3916,Upper Methow,0,615,6.2519498,10
457,668,586,1706,Upper Methow,0,1418,8.0120802,10
458,512,1144,10898,Upper Methow,0,512,16.2539005,10
459,670,620,346,Upper Methow,0,4704,7.0000000,10
460,661,627,75944,Upper Methow,0,706,15.9329996,10
461,627,1143,61347,Upper Methow,0,627,21.3069992,10
462,674,0,4541, ,1,1417,7.8484001,2
463,671,0,348, ,1,3778,4.0230198,2
464,636,0,178284, ,1,1262,29.9932995,1
465,659,0,3477, ,1,5007,11.5787001,2
466,678,0,4973, ,1,1992,7.4481401,2
467,666,0,594, ,4,629,26.0876999,4
468,681,0,2038, ,2,5280,34.7397995,2
