OID_,ppt_ID,shed,scen,treatment,delta
,3903, ,1,50,0.0000000
,3923, ,1,50,0.7053380
,3928, ,1,50,0.3535890
,3932, ,1,50,1.6339000
,3957, ,1,50,4.6461201
,3958, ,1,50,3.2934999
,3971, ,1,50,0.0000000
,3972, ,1,50,14.1190004
,3991, ,1,50,0.0000000
,3993, ,1,50,9.2865496
,4005, ,1,50,0.0000000
,4012, ,1,50,0.0000000
,4014, ,1,50,0.6603250
,4020, ,1,50,2.9228401
,4021, ,1,50,0.0000000
,4033, ,1,50,0.0000000
,4034, ,1,50,3.0624199
,4051, ,1,50,5.4508100
,4052, ,1,50,0.3532180
,4063, ,1,50,0.0000000
,4075, ,1,50,1.5316000
,4077, ,1,50,2.1185501
,4107, ,1,50,2.7946601
,4108, ,1,50,2.1439900
,4126, ,1,50,2.1285501
,4127, ,1,50,1.6632800
,4136, ,1,50,0.0000000
,4137, ,1,50,0.3523050
,4140, ,1,50,0.3527460
,4142, ,1,50,4.5454502
,4143, ,1,50,5.2535601
,4150, ,1,50,9.1033201
,4153, ,1,50,1.3907800
,4168, ,1,50,2.7027099
,4169, ,1,50,2.1282899
,4177, ,1,50,0.0000000
,4178, ,1,50,4.4773002
,4199, ,1,50,0.0000000
,4221, ,1,50,2.0107601
,4227, ,1,50,4.4631901
,4228, ,1,50,0.0000000
,4232, ,1,50,1.9816999
,4238, ,1,50,0.3322110
,4242, ,1,50,4.3385901
,4245, ,1,50,3.7037001
,4258, ,1,50,0.3317200
,4271, ,1,50,0.0000000
,4272, ,1,50,3.2232001
,4280, ,1,50,1.9162000
,4281, ,1,50,4.1666698
,4288, ,1,50,3.1313801
,4295, ,1,50,4.3237600
,4298, ,1,50,0.0000000
,4311, ,1,50,2.6315899
,4316, ,1,50,4.2641001
,4318, ,1,50,4.5559902
,4328, ,1,50,1.9770800
,4329, ,1,50,16.6667004
,4333, ,1,50,5.6061101
,4339, ,1,50,0.0000000
,4340, ,1,50,4.2119198
,4341, ,1,50,3.2248199
,4366, ,1,50,0.3313500
,4372, ,1,50,3.8416600
,4373, ,1,50,5.1953201
,4377, ,1,50,3.8749399
,4382, ,1,50,0.0000000
,4399, ,1,50,0.0000000
,4409, ,1,50,1.9341800
,4439, ,1,50,4.1540999
,4445, ,1,50,0.0000000
,4465, ,1,50,2.8803201
,4466, ,1,50,4.0233698
,4476, ,1,50,0.3300590
,4494, ,1,50,1.8402600
,4495, ,1,50,0.0000000
,4497, ,1,50,2.8571401
,4498, ,1,50,0.5479880
,4503, ,1,50,0.0000000
,4504, ,1,50,3.8928900
,4505, ,1,50,0.3281970
,4521, ,1,50,2.4434199
,4533, ,1,50,3.6586299
,4536, ,1,50,0.6055060
,4545, ,1,50,1.8129400
,4546, ,1,50,1.8531899
,4547, ,1,50,0.0000000
,4553, ,1,50,0.6534600
,4565, ,1,50,0.0000000
,4576, ,1,50,3.7243900
,4577, ,1,50,2.5659699
,4580, ,1,50,0.3276470
,4587, ,1,50,0.3274910
,4602, ,1,50,3.2627699
,4603, ,1,50,0.3269980
,4605, ,1,50,1.8367500
,4606, ,1,50,1.6129000
,4610, ,1,50,2.3801200
,4611, ,1,50,0.3264420
,4612, ,1,50,0.3261970
,4625, ,1,50,0.0000000
,4632, ,1,50,4.1696301
,4634, ,1,50,1.8551600
,4641, ,1,50,0.3200510
,4644, ,1,50,3.4807701
