FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc
1817,2140,0,69511, ,10366,5079,19.8013992
1818,2141,0,32100, ,10169,4232,26.6352005
1819,2103,2702,2858, ,20009,3647,22.9920006
1820,2061,0,1059, ,0,0,0.0000000
1821,2147,0,32642, ,10169,4232,26.5676003
1822,2148,0,504, ,10147,4127,24.0475998
1823,2146,0,33038, ,10169,4232,26.4895992
1824,2151,0,351, ,10037,3681,21.6581001
1825,2104,0,796, ,10122,3993,41.1030006
1826,2108,0,26128, ,20118,4242,30.0949993
1827,2145,0,348, ,0,0,0.0000000
1828,2155,0,2003, ,10114,3957,30.3001003
1829,2128,0,6429, ,10204,4498,13.2853003
1830,2156,0,858, ,10150,4033,4.7937102
1831,2157,0,79384, ,20359,5196,18.0060997
1832,2167,0,78450, ,20359,5196,18.2205009
1833,2158,0,354, ,0,0,0.0000000
1834,2166,0,1215, ,32597,1810,32.0262985
1835,2160,0,2994, ,20088,4075,3.0584500
1836,2161,0,397, ,32298,1492,41.0000000
1837,2110,0,757, ,20081,4150,14.0000000
1838,2112,0,590, ,30213,150,16.9712009
1839,2125,0,1704, ,10071,3760,2.0498800
1840,2121,0,630, ,10240,4732,0.0000000
1841,2016,0,1814, ,10071,3760,6.0000000
1842,2163,0,77172, ,20359,5196,18.5137997
1843,2168,0,66962, ,10325,4861,20.4776993
1844,2117,0,1751, ,10071,3760,11.9103003
1845,2170,0,2849, ,20009,3647,16.4657993
1846,2171,0,804, ,10122,3993,23.9403000
1847,2172,0,1551, ,10160,4136,11.0142002
1848,2138,0,75447, ,10366,5079,18.7084007
1849,2169,0,10067, ,10228,4553,24.8269997
1850,2055,0,15394, ,30313,147,24.6763000
1851,2127,0,427, ,0,0,0.0000000
1852,2126,0,707, ,30555,330,15.0000000
1853,2143,0,404, ,20308,4963,15.0370998
1854,2177,0,506, ,10147,4127,6.9861698
1855,2178,0,4561, ,20107,4153,11.9895000
1856,2150,0,35126, ,10169,4232,25.3642006
1857,2180,0,1634, ,20064,4020,21.5109997
1858,2069,0,3776, ,10067,3693,28.0874004
1859,2182,0,4920, ,10493,5778,21.5967007
1860,2183,0,8739, ,10379,5152,24.4776001
1861,2184,0,373, ,10037,3681,9.0000000
1862,2186,0,8305, ,10090,3714,27.1126003
1863,2187,0,378, ,10037,3681,2.0000000
1864,2189,0,6444, ,20331,5249,21.2040997
1865,2191,0,2332, ,31224,693,22.0093994
1866,2120,0,1886, ,10114,3957,27.0000000
1867,2153,0,27130, ,10142,4077,30.3033009
1868,2116,0,104389, ,10492,5643,25.8493004
1869,2192,0,570, ,10072,3752,18.0316010
1870,2193,0,2354, ,32506,1620,25.1469994
1871,2165,0,421, ,10094,3781,10.0000000
1872,2198,0,895, ,10150,4033,21.0235004
1873,2199,0,51889, ,31003,501,28.6310005
1874,2085,0,3484, ,10432,5421,33.2835999
1875,2086,2880,21706,Upper Methow,32880,2086,30.5223007
1876,2144,2775,326530, ,0,0,19.5632000
1877,2194,0,17229, ,10130,4034,25.7346001
1878,2137,0,428, ,10094,3781,9.0000000
1879,2202,2912,2425,Upper Methow,31963,1168,37.1113014
1880,2211,2793,7727, ,10090,3714,14.6778002
1881,2201,0,3732, ,10067,3693,22.5709991
1882,2176,0,25668, ,20118,4242,24.8992996
1883,2206,0,507, ,31868,1135,26.0000000
1884,2207,0,1815, ,32256,1418,24.5939007
1885,2209,0,1248, ,0,0,0.0000000
1886,2056,0,1829, ,32372,1211,20.0000000
1887,2196,0,647, ,10040,3697,0.0000000
1888,2229,0,12259, ,10244,4690,11.3830004
1889,2185,0,911, ,31195,796,15.9649000
1890,2216,0,633, ,30213,150,24.0379009
1891,2197,0,156571, ,31742,1031,27.5165005
1892,2136,0,813, ,10431,5326,34.3345985
1893,2213,0,4389, ,20107,4153,26.4475002
1894,2221,0,4862, ,32800,1992,35.0144005
1895,2204,0,358, ,32898,2077,5.0000000
1896,2090,0,2253, ,32506,1620,17.0074997
1897,2225,0,3327, ,10489,5546,25.7084007
1898,2149,0,557, ,10072,3752,1.0000000
1899,2214,0,13127, ,10108,3808,10.6302996
1900,2227,0,11404, ,10244,4690,12.1876001
1901,2231,0,2269, ,20284,4889,5.8774800
1902,2232,0,681, ,31860,1176,16.0000000
1903,2233,0,706, ,31860,1176,29.0000000
1904,2218,0,5613, ,10069,3770,12.4946003
1905,2212,0,417, ,10094,3781,0.0000000
1906,2234,0,502, ,0,0,0.0000000
1907,2235,0,557, ,10072,3752,18.9659004
1908,2236,0,1124, ,10050,3698,21.0186996
1909,2255,0,10538, ,10234,4664,13.1891003
1910,2238,2935,1318,Upper Methow,32935,2238,42.0000000
1911,2241,2958,737,Upper Methow,32958,2241,47.0000000
1912,2173,0,702, ,20057,3890,7.9772100
1913,2215,0,444, ,30588,262,3.1621599
1914,2228,0,6009, ,10079,3782,10.0368004
1915,2135,2787,4309, ,10049,3446,20.9727993
1916,2222,0,163281, ,31742,1031,27.8826008
1917,2188,0,568, ,10475,5471,17.0298996
1918,2200,0,21356, ,32136,1381,27.5419998
1919,2082,0,1128, ,10050,3698,35.9361992
1920,2247,0,4247, ,20062,3895,4.5601602
1921,2226,0,2140, ,32635,1776,21.0098000
1922,2254,0,718, ,32038,1351,27.9220009
1923,2164,0,1655, ,20064,4020,19.7588997
1924,2242,0,430, ,10094,3781,1.0511600
1925,2244,0,6894, ,20028,3654,10.6815996
1926,2260,0,610, ,20024,3674,2.2131100
1927,2259,0,49351, ,10387,4792,29.6231003
1928,2258,0,8619, ,10379,5152,12.7087002
1929,2261,0,431, ,10222,4660,55.0000000
1930,2131,2855,311016,Upper Methow,32855,2131,27.5058002
1931,2175,0,37987, ,10192,4328,23.5932999
1932,2262,0,1536, ,20064,4020,11.0000000
1933,2210,0,28483, ,32184,1260,25.7019005
1934,2265,0,455, ,10339,5063,27.0000000
1935,2266,0,27842, ,10142,4077,16.8568001
1936,2267,0,2371, ,20284,4889,4.6250501
1937,2268,0,448, ,0,0,0.0000000
1938,2239,2891,2488, ,10374,5121,14.9144001
