OID_,ppt_ID,shed,scen,treatment,delta
,4741, ,1,50,1.8919899
,4742, ,1,50,0.770606
,4743, ,1,50,1.53846
,4750, ,1,50,0
,4759, ,1,50,1.34445
,4770, ,1,50,2.4427199
,4775, ,1,50,0.319778
,4791, ,1,50,0
,4792, ,1,50,1.83248
,4800, ,1,50,0.31928
,4803, ,1,50,0.705126
,4821, ,1,50,0
,4823, ,1,50,0
,4854, ,1,50,0.887986
,4858, ,1,50,0.31903
,4859, ,1,50,1.30336
,4861, ,1,50,1.54057
,4873, ,1,50,2.3255799
,4886, ,1,50,1.7665499
,4889, ,1,50,1.68063
,4890, ,1,50,0
,4891, ,1,50,9.0665398
,4899, ,1,50,2.9586799
,4901, ,1,50,0
,4906, ,1,50,3.36835
,4912, ,1,50,0
,4920, ,1,50,0.315975
,4924, ,1,50,0.89045
,4940, ,1,50,2.7976401
,4956, ,1,50,3.8461399
,4959, ,1,50,0
,4963, ,1,50,2.77777
,4964, ,1,50,3.2029901
,4970, ,1,50,0
,4976, ,1,50,1.53101
,4984, ,1,50,1.99777
,4996, ,1,50,0
,5002, ,1,50,0.31583
,5005, ,1,50,0.311421
,5007, ,1,50,2.0603001
,5021, ,1,50,0.310776
,5023, ,1,50,2.73002
,5031, ,1,50,0.311256
,5036, ,1,50,1.6368999
,5040, ,1,50,1.03588
,5048, ,1,50,0.31051
,5063, ,1,50,0
,5068, ,1,50,2.0838599
,5075, ,1,50,1.92679
,5077, ,1,50,2.7211399
,5078, ,1,50,0.309499
,5079, ,1,50,1.55656
,5081, ,1,50,0
,5082, ,1,50,0.309983
,5086, ,1,50,0
,5097, ,1,50,1.1026
,5098, ,1,50,2.6642101
,5115, ,1,50,2.1703701
,5118, ,1,50,4.2627101
,5121, ,1,50,0.582269
,5130, ,1,50,2.0022099
,5133, ,1,50,0.404297
,5137, ,1,50,0.309181
,5139, ,1,50,1.53509
,5151, ,1,50,1.07916
,5152, ,1,50,1.13653
,5156, ,1,50,0.308896
,5157, ,1,50,0
,5159, ,1,50,0
,5178, ,1,50,0.830333
